TPR	FPR	Precision	F1	Range	Length
0.951676773017	0.219807992731	0.515764401078	0.668975369534	1-6	12
0.962317355936	0.216499329099	0.522326219594	0.677123580178	3-8	12
0.962743272989	0.21468240939	0.524538889333	0.679086053635	5-10	12
0.964254177016	0.215172882869	0.524360841755	0.679312146593	7-12	12
0.97126712159	0.216317320985	0.524845167223	0.681452667238	9-14	12
0.97190232547	0.215121848335	0.52638999644	0.682910342879	11-16	12
0.973299406837	0.215707616385	0.526070174046	0.682985429186	13-18	12
0.973613337078	0.21495745391	0.527019050174	0.68386205776	15-20	12
0.97242370669	0.213578166614	0.528318711175	0.684660649715	17-22	12
0.972355780264	0.213547003934	0.528337665913	0.684659728062	19-24	12
0.971546170694	0.214181999985	0.527390086372	0.683663253139	21-26	12
0.971946385855	0.214238905747	0.52742652604	0.683792939997	23-28	12
0.971421332937	0.214910484074	0.526511653824	0.682893903913	25-30	12
0.971228568753	0.214364008099	0.527096864828	0.683338241676	27-32	12
0.970152761026	0.214521628029	0.526637367456	0.682685817303	29-34	12
0.969943474198	0.21473299229	0.52633807335	0.68238251057	31-36	12
0.968441749418	0.213762432893	0.527081103927	0.682633963407	33-38	12
0.968509675844	0.213928182218	0.526905379478	0.682503438042	35-40	12
0.967334732251	0.214447560211	0.525998237069	0.681450653368	37-42	12
0.963784199579	0.214058704165	0.525533912744	0.680178770747	39-44	12
0.960859691541	0.214538790084	0.524217360299	0.678347740264	41-46	12
0.958324383568	0.214541499882	0.523555199836	0.677161248142	43-48	12
0.958223411853	0.214288133748	0.523823669619	0.677360537579	45-50	12
0.958429026981	0.214844997283	0.523229802459	0.676915117697	47-52	12
0.957031945615	0.214899193248	0.522802967319	0.676209402297	49-54	12
0.95718982866	0.214366717897	0.523463007361	0.676800738345	51-56	12
0.955377845337	0.214099351139	0.523301661108	0.676212541354	53-58	12
0.954828926377	0.214755122309	0.522395315435	0.675318132566	55-60	12
0.953942211134	0.214192839178	0.522817598065	0.675448739072	57-62	12
0.952658952428	0.214153998736	0.522527003908	0.674884445612	59-64	12
0.9531711544	0.215152559382	0.521500381182	0.67415571313	61-66	12
0.95308670533	0.21501842437	0.521633890785	0.674246128611	63-68	12
0.9531711544	0.214542854781	0.522208487514	0.67474709931	65-70	12
0.951895239092	0.214401042008	0.5220392498	0.674285974375	67-72	12
0.951948478723	0.21498726169	0.521371869831	0.673742351854	69-74	12
0.95363378844	0.21440736487	0.522487172962	0.675095652988	71-76	12
0.956479354956	0.215303404816	0.522190026691	0.675558696343	73-78	12
0.958153649577	0.215001713947	0.522976210636	0.676634207875	75-80	12
0.95912848559	0.214727572694	0.523548163076	0.677355992942	77-82	12
0.958351921308	0.215112815675	0.522898947333	0.676618959604	79-84	12
0.958827406294	0.215120493436	0.523013788345	0.676833598565	81-86	12
0.958427191132	0.215110557509	0.522921159465	0.676656314968	83-88	12
0.957988423134	0.215245595788	0.522650355513	0.676320243869	85-90	12
0.953920180941	0.214706797574	0.522213891748	0.674939193292	87-92	12
0.951816297569	0.214226711655	0.522221517145	0.674418181132	89-94	12
0.950296214295	0.215328244633	0.520542834445	0.672636323294	91-96	12
0.951856686255	0.215466444343	0.520792192582	0.673235199215	93-98	12
0.950958955916	0.214327877456	0.521878866281	0.673917215207	95-100	12
0.949620621729	0.215020230902	0.520722598051	0.672616992628	97-102	12
0.946931102409	0.214777252328	0.520296926334	0.671586600558	99-104	12
0.946718143883	0.215013908039	0.519965919346	0.671257269901	101-106	12
0.947021059028	0.215061781141	0.519990201968	0.671353635579	103-108	12
0.948030776179	0.215815105048	0.519383376884	0.671100827116	105-110	12
0.946883370326	0.215489929261	0.519457472941	0.670874912852	107-112	12
0.945348600257	0.215551802987	0.518980860906	0.670092139003	109-114	12
0.942995041371	0.215181915529	0.518787325436	0.669338865375	111-116	12
0.941531869427	0.215548641556	0.517974516323	0.66829377306	113-118	12
0.9416089751	0.215731101303	0.517783700294	0.668154346089	115-120	12
0.940270640913	0.215276758467	0.517954967209	0.667959534203	117-122	12
0.93675498938	0.214812479705	0.517558718399	0.66674158287	119-124	12
0.933074111403	0.214762348438	0.516633867872	0.66504108976	121-126	12
0.928814940876	0.214202323471	0.516143380643	0.66355088093	123-128	12
0.929692476873	0.214257422702	0.516314986705	0.663916571563	125-130	12
0.928548742719	0.216223381313	0.513726123513	0.661482436196	127-132	12
0.928835135219	0.21586162325	0.514221451142	0.661965657644	129-134	12
0.926529308417	0.215853945489	0.513609422895	0.66087269656	131-136	12
0.923562575844	0.21733665675	0.511097790805	0.658038380591	133-138	12
0.91709671438	0.216839408776	0.509914542827	0.655413122327	135-140	12
0.91371507985	0.216224736212	0.50970076879	0.654371354794	137-142	12
0.696023733861	0.200862890081	0.460176701134	0.554045641334	139-144	12
0.722884045918	0.248290681862	0.41732996157	0.529165874338	141-146	12
0.728090514717	0.255633331783	0.411998138406	0.526225633126	143-148	12
0.725718597338	0.255539843744	0.411296439455	0.525033470047	145-150	12
0.924247347657	0.00188105160043	0.991794865733	0.956830457771	1-8	16
0.945242120993	0.00192937633542	0.991771196104	0.967947820153	3-10	16
0.945141149278	0.00201970294289	0.991388357722	0.967712527397	5-12	16
0.947669113854	0.00206080154928	0.991237890411	0.968963989668	7-14	16
0.957239396593	0.00210325505479	0.991147599568	0.973898442162	9-16	16
0.957268770183	0.0020851897333	0.991223234382	0.973950156665	11-18	16
0.959334100718	0.00212222364236	0.991087803814	0.97495247033	13-20	16
0.958972438393	0.00213351446829	0.991037464688	0.974741320595	15-22	16
0.958140798631	0.00212944977095	0.991046692023	0.974315989128	17-24	16
0.957511102299	0.00211770731198	0.991089820086	0.974011143284	19-26	16
0.956982377682	0.0020973838253	0.991169742869	0.973776089876	21-28	16
0.95707417015	0.00215970918445	0.990910594233	0.973698513467	23-30	16
0.956073632246	0.00208564136633	0.991210472823	0.973325047542	25-32	16
0.955495339696	0.00215925755142	0.990897598459	0.972874509441	27-34	16
0.954641669742	0.00212809487184	0.991019835643	0.972490670168	29-36	16
0.952635086386	0.00213441773436	0.990974594802	0.971426699365	31-38	16
0.952319320295	0.00212854650488	0.990996240314	0.971272895788	33-40	16
0.951318782391	0.00204273622779	0.991347068085	0.97092053737	35-42	16
0.945693739937	0.00203099376882	0.991345648672	0.967981734988	37-44	16
0.943107028182	0.00212448180754	0.990926293495	0.966425491568	39-46	16
0.939420642657	0.00203325193401	0.991278760042	0.964653253126	41-48	16
0.934909960768	0.00209151259582	0.990988221054	0.962132648145	43-50	16
0.936285011942	0.00214435366119	0.990776086986	0.962760133502	45-52	16
0.935196353269	0.00210190015568	0.990946617334	0.962264667741	47-54	16
0.933896571918	0.00208654463241	0.990999766228	0.961601168968	49-56	16
0.93334398126	0.00211138444946	0.990888253936	0.961255685251	51-58	16
0.931240097887	0.00211364261465	0.990858178707	0.96012454573	53-60	16
0.930777463848	0.00201338008036	0.991283758815	0.960078245276	55-62	16
0.927862135056	0.00205989828321	0.991056406797	0.958418706699	57-64	16
0.928163214352	0.00211273934857	0.990832034963	0.958474333673	59-66	16
0.928466129497	0.00209693219227	0.990902945815	0.958669007063	61-68	16
0.927153497201	0.00208383483419	0.990946568271	0.957989202806	63-70	16
0.927639997283	0.00209873872442	0.990887145325	0.958221052372	65-72	16
0.927401336866	0.00207931850381	0.990968405111	0.958131692324	67-74	16
0.927913538838	0.00219087186403	0.990493678129	0.958182898752	69-76	16
0.931631133802	0.00216964511128	0.99062213286	0.960221461773	71-78	16
0.934410609741	0.00212132037628	0.990856121648	0.961805922992	73-80	16
0.936442894988	0.00217912940506	0.990629466783	0.962774355688	75-82	16
0.937017515839	0.00219042023099	0.990587093644	0.963057935369	77-84	16
0.93701384414	0.00220351758907	0.990531306462	0.963029630636	79-86	16
0.936944081864	0.00214525692726	0.990778668634	0.963109668933	81-88	16
0.935580045786	0.00215925755142	0.99070564038	0.9623540631	83-90	16
0.932143335775	0.00216422551483	0.990650431091	0.960506751516	85-92	16
0.928594638953	0.00223332536954	0.99031829226	0.958463765699	87-94	16
